student_id,disability_type,baseline_mastery,sensory_sensitivity,executive_function,reading_level_baseline,consent_disposition,trust_growth_rate,engagement_capacity
S0000,Physical_Sensory,0.3238405372353631,0.6789297931266339,0.1879453999598021,0.400777967298853,0.6599606018958379,0.06264752739545904,0.7027474900278721
S0001,ADHD,0.3950982696405951,0.5431449435602028,0.5578426147318256,0.4293071373908198,0.37615565611367724,0.06041243991621416,0.761074282930507
S0002,Mixed,0.2803961252455479,0.5381253746192914,0.6641129512864578,0.45427194169074747,0.7172087137519976,0.10051864263160455,0.9985242260491736
S0003,ID,0.14969437546035513,0.32763002591046614,0.7374071988920127,0.19651002235913292,0.25992305709326663,0.049775546270081905,0.8482420097058677
S0004,ASD,0.4819543805137205,0.865669027070976,0.7989342487580777,0.168627308829766,0.5924212425215035,0.10128940921638357,1.0515632697546489
S0005,Mixed,0.34804092397593234,0.3271311834916648,0.04986963520226594,0.26689149669963197,0.905347460378703,0.07669601681739127,0.8529554682949226
S0006,Physical_Sensory,0.5983584682932885,0.5637776196274008,0.4788850995554906,0.2552892335482987,0.6786881150145193,0.07808331000714286,0.8588923825253787
S0007,Physical_Sensory,0.3612625899661682,0.8394417152902891,0.4589846242695503,0.3034263979041246,0.6169456169662703,0.0458382458917335,0.9265796679987406
S0008,ASD,0.24457602934881237,0.7131966797328456,0.43729146455446166,0.49520659631350067,0.5039268454689537,0.07706566739742828,0.5952314939225881
S0009,Dyslexia,0.5029382993631841,0.5699350031936324,0.5576094793379874,0.2246606265512893,0.8709501690420912,0.09227171032022752,0.8829841845098857
S0010,ADHD,0.4314014138883938,0.8687418157150394,0.6006049666066471,0.4294591907515283,0.65448086624701,0.05327179824296038,0.8575916033384331
S0011,Mixed,0.44293013783444224,0.3025123093139364,0.057422391356331565,0.2163544884936608,0.4196104402912546,0.08997271734503691,1.011094141496043
S0012,Dyslexia,0.49857747565502164,0.7482986893157841,0.6105712019507049,0.18075366956185826,0.7273951175003899,0.08178024507358045,0.95895819156089
S0013,Physical_Sensory,0.2773698389293761,0.550147132774331,0.7101076545617406,0.48808864926172607,0.3436216720209334,0.06712488772335387,0.7491210835898482
S0014,ADHD,0.3404349971126369,0.6332120877954319,0.41151925215570334,0.4892428687265203,0.7681774469766794,0.0970934617298261,0.9867041140072863
S0015,ADHD,0.33513141441233624,0.4928432421629189,0.3700108605600811,0.2913139257718138,0.6752555567342987,0.03595486462042888,0.8362587995864287
S0016,Dyslexia,0.20081580976099725,0.20961912535337598,0.8660611202126209,0.27424935795693306,0.7595267958411305,0.08693361497487419,0.7720449295149238
S0017,ASD,0.32407457617188223,0.5857369882827215,0.5175602022231488,0.7298271780223498,0.5012338416282854,0.11238870316146585,0.8822005772316485
S0018,Physical_Sensory,0.5160709291360903,0.6534246431087495,0.06063455385100611,0.3973603106116543,0.6732886814212815,0.10879886278201323,0.8422133165781465
S0019,Dyslexia,0.3841859666461331,0.36264849825364204,0.1463213748724194,0.14602195807863325,0.8718459987039737,0.08779613441077046,1.0163367835473807
S0020,Physical_Sensory,0.1941780348494729,0.4209596268427236,0.6123631931298299,0.373935641595676,0.35562671825793596,0.07396638447738309,0.8965524549936492
S0021,ADHD,0.16900466479107926,0.619327402401684,0.3117466096201034,0.41382656612902496,0.47101189800414195,0.06728394886904739,0.8830561442331288
S0022,Mixed,0.555478521240664,0.42967531691596317,0.3691061200860895,0.3773247428964176,0.34143043707888365,0.07394148412188715,0.9525549604300723
