student_id,disability_type,total_reward,overload_events,final_mastery,acceptance_rate,final_trust
S0001,ADHD,5.081926058421052,19,1.0,0.86,0.99
S0003,ID,-70.42531850459685,33,0.1496943754603551,0.24,0.23005772933121638
S0007,Physical_Sensory,3.655213706339918,24,1.0,0.88,0.99
S0015,ADHD,0.4390614278125725,18,1.0,0.84,0.99
S0022,Mixed,7.609691227928744,13,1.0,0.84,0.99
S0025,ASD,-13.406095374880222,25,1.0,0.62,0.99
S0026,Dyslexia,3.603645823722169,16,1.0,0.92,0.99
S0030,ID,4.407797218616741,21,1.0,0.84,0.99
S0037,Dyslexia,7.221875005443383,5,1.0,0.88,0.99
S0043,ADHD,3.3021411342485845,8,1.0,0.9,0.99
S0049,ASD,7.032495962477112,9,1.0,1.0,0.99
S0050,ASD,5.666838214757789,15,1.0,0.84,0.99
S0064,Dyslexia,4.310677364883932,14,1.0,0.84,0.99
S0068,ASD,6.895722859517368,18,1.0,0.96,0.99
S0071,ADHD,9.321578169927337,7,1.0,0.9,0.99
S0072,Mixed,0.7391964963746092,22,1.0,0.78,0.99
S0074,ASD,1.3914321291175067,20,1.0,0.84,0.99
S0076,ADHD,-6.068561876495348,15,1.0,0.8,0.99
S0083,ASD,1.3853512863594628,22,1.0,0.8,0.99
S0086,ID,8.722153862873613,22,1.0,0.9,0.99
S0087,Dyslexia,5.046493820713697,16,1.0,0.78,0.99
S0104,Physical_Sensory,3.843521491147353,18,1.0,0.76,0.99
S0109,Mixed,6.823967805393107,8,1.0,0.88,0.99
S0115,Mixed,4.553760784833636,15,1.0,0.88,0.99
S0121,Dyslexia,-5.68973034370515,18,1.0,0.52,0.99
S0126,ADHD,-2.282413387593939,16,1.0,0.8,0.99
S0129,Dyslexia,0.8490028077006861,15,1.0,0.9,0.99
S0133,ADHD,0.8918578709896938,20,1.0,0.8,0.99
S0136,Mixed,1.8739829315196115,11,1.0,0.82,0.99
S0141,Dyslexia,-9.011885411833845,21,1.0,0.62,0.99
S0143,Dyslexia,-0.4821221382650216,12,1.0,0.68,0.99
S0144,Dyslexia,8.188321417942564,8,1.0,0.96,0.99
S0153,Dyslexia,7.0995700990683845,16,1.0,0.8,0.99
S0155,ID,7.285287112470822,8,1.0,0.88,0.99
S0156,ADHD,5.273686295050441,15,1.0,0.94,0.99
S0166,Physical_Sensory,-1.1266971635293141,23,1.0,0.92,0.99
S0178,Mixed,-9.04486304578614,18,1.0,0.66,0.99
S0195,ASD,8.902472731211,18,1.0,0.94,0.99
S0196,Dyslexia,4.7738477479323596,17,1.0,0.92,0.99
S0203,ASD,4.3641272174460255,15,1.0,0.84,0.99
S0209,Dyslexia,7.830103994101061,21,1.0,0.94,0.99
S0215,ID,8.98875814915568,5,1.0,0.96,0.99
S0216,ASD,6.091736016346342,17,1.0,0.92,0.99
S0226,ASD,-4.223773637544141,12,1.0,0.66,0.99
S0235,Physical_Sensory,6.301743794360307,24,1.0,0.88,0.99
S0237,Physical_Sensory,-10.672083174916764,26,0.9907039988838978,0.64,0.99
S0239,ASD,6.6565941373421795,20,1.0,0.92,0.99
S0241,Physical_Sensory,2.5418327318194858,12,1.0,0.88,0.99
S0243,Dyslexia,-4.706957534844815,15,1.0,0.76,0.99
S0252,Dyslexia,5.863637444716042,8,1.0,0.9,0.99
S0254,ADHD,5.1739116872696025,15,1.0,0.92,0.99
S0255,ID,2.925752958302588,17,1.0,0.94,0.99
S0264,Mixed,9.103870010822313,7,1.0,0.9,0.99
S0265,ASD,8.346052675791078,16,1.0,0.94,0.99
S0266,ADHD,4.586588956669997,10,1.0,0.82,0.99
S0276,ADHD,-1.8594199636977018,17,1.0,0.56,0.99
S0279,Mixed,-6.7403009187081855,24,1.0,0.78,0.99
S0280,ASD,4.559643141119857,14,1.0,0.9,0.99
S0281,ASD,6.467652804952368,13,1.0,0.84,0.99
S0282,ADHD,7.927339229032369,15,1.0,0.78,0.99
S0288,Dyslexia,-1.2548971090927719,16,1.0,0.88,0.99
S0297,Physical_Sensory,3.8100987032328106,23,1.0,0.8,0.99
S0308,ADHD,-69.66910505209188,40,0.1850939459052175,0.26,0.2729829190070957
S0313,ADHD,7.320613355307903,18,1.0,0.96,0.99
S0316,ADHD,6.370849607418381,15,1.0,0.92,0.99
S0317,ID,6.149673717622851,12,1.0,0.82,0.99
S0319,Mixed,1.6181463763993107,19,1.0,0.74,0.99
S0334,ASD,5.167932000360912,21,1.0,0.96,0.99
S0335,Dyslexia,1.312988799478363,10,1.0,0.74,0.99
S0336,ASD,0.3792196964404667,19,1.0,0.8,0.99
S0352,Dyslexia,6.287768345702512,22,1.0,0.92,0.99
S0356,Physical_Sensory,8.491057832593432,16,1.0,0.96,0.99
S0357,Physical_Sensory,8.754629831332107,13,1.0,0.94,0.99
S0368,ADHD,6.589449280071341,11,1.0,0.9,0.99
S0369,Mixed,5.5984995673234454,7,1.0,0.86,0.99
S0373,ADHD,1.2738952898642373,15,1.0,0.92,0.99
S0386,ID,5.878142865368014,12,1.0,0.88,0.99
S0388,ASD,5.42452556663996,16,1.0,0.78,0.99
S0393,ID,0.5775005250843726,19,1.0,0.86,0.99
S0396,Physical_Sensory,4.590541682564239,12,1.0,0.92,0.99
